id,rank,name,nat,age,birth,turned_pro,weight,height,plays,aces,double_faults,f_serve,f_serve_won,s_serve_won,break_faced,break_saved,serve_played,serve_won,serve_points_won,re_f_serve_won,re_s_serve_won,break_opp,break_conv,re_games_played,re_games_won,re_points_won,total_points_won,prize,prize_year,score,score_year,coach,place_birth,residence
16,17,LucasPouille,FRA,24.0,1994.02.23,2012.0,81.0,185.0,"Right-Handed,Two-Handed",1405.0,655.0,56.0,74.0,51.0,1237.0,63.0,2318.0,80.0,64.0,27.0,49.0,1160.0,39.0,2316.0,20.0,36.0,50.0,5621483,1040918.0,106-82,21-16,EmmanuelPlanque,"Grande-Synthe,France","Dubai,UAE"
17,18,JackSock,USA,25.0,1992.09.24,2011.0,84.0,191.0,"Right-Handed,Two-Handed",1772.0,1176.0,58.0,74.0,53.0,1623.0,64.0,3385.0,83.0,65.0,27.0,48.0,1697.0,39.0,3387.0,19.0,35.0,50.0,9294710,418591.0,158-118,5-15,MarkKnowles,"Lincoln,NE,USA","KansasCity,KS,USA"
18,19,KeiNishikori,JPN,28.0,1989.12.29,2007.0,75.0,178.0,"Right-Handed,Two-Handed",1687.0,1345.0,61.0,71.0,53.0,3089.0,62.0,6016.0,80.0,64.0,30.0,53.0,4029.0,41.0,6043.0,27.0,40.0,52.0,19286966,1657968.0,354-168,23-13,"DanteBottini,MichaelChang","Shimane,Japan","Bradenton,FL,USA"
19,20,BornaCoric,CRO,21.0,1996.11.14,2013.0,85.0,188.0,"Right-Handed,Two-Handed",1019.0,439.0,61.0,71.0,53.0,1167.0,60.0,2284.0,80.0,64.0,27.0,50.0,1271.0,38.0,2316.0,21.0,36.0,50.0,4200249,1583745.0,105-100,26-14,"RiccardoPiatti,KristijanSchneider","Zagreb,Croatia","Dubai,UAE"
20,21,MarcoCecchinato,ITA,25.0,1992.09.30,2010.0,78.0,185.0,"Right-Handed,One-Handed",245.0,144.0,67.0,68.0,48.0,445.0,56.0,775.0,74.0,61.0,27.0,48.0,384.0,36.0,766.0,18.0,35.0,48.0,1936431,1163078.0,23-39,19-16,SimoneVagnozzi,"Palermo,Italy","Palermo,Italy"
21,22,RobertoBautistaAgut,ESP,30.0,1988.04.14,2005.0,75.0,183.0,"Right-Handed,Two-Handed",1114.0,738.0,66.0,69.0,53.0,2453.0,63.0,4528.0,80.0,64.0,31.0,52.0,2800.0,42.0,4431.0,27.0,39.0,52.0,8828709,1390045.0,237-143,25-13,"TomasCarbonell,PepeVendrell","CastellondelaPlana,Spain","CastellondelaPlana,Spain"
22,23,HyeonChung,KOR,22.0,1996.05.19,2014.0,87.0,188.0,"Right-Handed,Two-Handed",397.0,360.0,62.0,70.0,50.0,758.0,59.0,1373.0,77.0,63.0,31.0,53.0,894.0,42.0,1397.0,27.0,39.0,51.0,3069138,1359223.0,76-56,25-13,NevilleGodwin,"Suwon,SouthKorea","Suwon,SouthKorea"
23,24,MilosRaonic,CAN,27.0,1990.12.27,2008.0,98.0,196.0,"Right-Handed,Two-Handed",6523.0,1373.0,63.0,81.0,55.0,1700.0,69.0,5701.0,91.0,71.0,27.0,46.0,2486.0,36.0,5634.0,16.0,34.0,52.0,17180372,1375042.0,312-142,24-10,GoranIvanisevic,"Podgorica,Montenegro","MonteCarlo,Monaco"
24,25,RichardGasquet,FRA,32.0,1986.06.18,2002.0,75.0,185.0,"Right-Handed,One-Handed",4231.0,1826.0,62.0,73.0,53.0,4342.0,61.0,9522.0,82.0,66.0,31.0,51.0,5745.0,41.0,9357.0,25.0,39.0,52.0,16811305,959215.0,511-296,25-16,"FabriceSantoro,ThierryTulasne","Beziers,France","Neuchatel,Switzerland"
25,26,KarenKhachanov,RUS,22.0,1996.05.21,2013.0,87.0,198.0,"Right-Handed,Two-Handed",1134.0,395.0,59.0,74.0,51.0,810.0,63.0,1665.0,82.0,65.0,28.0,49.0,868.0,39.0,1671.0,20.0,36.0,51.0,3399426,1397657.0,72-63,29-17,VedranMartic,"Moscow,Russia","Dubai,UAE"
26,27,DamirDzumhur,BIH,26.0,1992.05.20,2011.0,68.0,175.0,"Right-Handed,Two-Handed",439.0,453.0,64.0,65.0,50.0,1329.0,57.0,1995.0,71.0,60.0,32.0,51.0,1264.0,45.0,2025.0,28.0,40.0,50.0,3159170,860906.0,96-89,20-23,NerfidDzumhur-Neno,"Sarajevo,Bosnia-Herzegovina","Sarajevo,Bosnia-Herzegovina"
