id,rank,name,nat,age,birth,turned_pro,weight,height,plays,aces,double_faults,f_serve,f_serve_won,s_serve_won,break_faced,break_saved,serve_played,serve_won,serve_points_won,re_f_serve_won,re_s_serve_won,break_opp,break_conv,re_games_played,re_games_won,re_points_won,total_points_won,prize,prize_year,score,score_year,coach,place_birth,residence
262,263,VictorEstrellaBurgos,DOM,38.0,1980.08.02,2002.0,77.0,170.0,"Right-Handed,One-Handed",402.0,282.0,65.0,67.0,50.0,816.0,59.0,1317.0,74.0,61.0,24.0,47.0,571.0,40.0,1334.0,17.0,33.0,48.0,2118846,149426.0,84-81,2-9,ManuelAntuna,"Santiago,DominicanRepublic","Santiago,DominicanRepublic"
263,264,TomislavBrkic,BIH,28.0,1990.03.09,2008.0,80.0,185.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,222314,41895.0,3-6,0-0,AlbertoCastellaniandPatrikCavar,"Mostar,Bosnia&amp;Herzegovina","Ljubuski,Bosnia&amp;Herzegovina"
264,265,TobiasKamke,GER,32.0,1986.05.21,2004.0,76.0,178.0,"Right-Handed,Two-Handed",329.0,551.0,59.0,66.0,49.0,1275.0,57.0,1913.0,71.0,59.0,29.0,52.0,1179.0,40.0,1932.0,24.0,38.0,49.0,2271888,66951.0,63-102,0-0,JulianReisterandTobiasHinzmann,"Lubeck,Germany","Hamburg,Germany"
265,266,GlebSakharov,FRA,30.0,1988.06.10,2005.0,80.0,185.0,"Right-Handed,Two-Handed",16.0,8.0,60.0,74.0,41.0,24.0,63.0,30.0,70.0,61.0,28.0,36.0,13.0,31.0,28.0,14.0,31.0,47.0,261109,70176.0,1-2,0-1,StéphanePlot,"Tashkent,Uzbekistan","Nantes,France"
266,267,MitchellKrueger,USA,24.0,1994.01.12,2012.0,82.0,188.0,"Right-Handed,Two-Handed",32.0,24.0,57.0,64.0,49.0,57.0,49.0,88.0,67.0,58.0,24.0,53.0,51.0,35.0,90.0,20.0,36.0,47.0,398208,75605.0,2-6,1-2,"StanfordBoster,DaveLicker","FortWorth,TX,USA","Orlando,FL,USA"
267,268,OriolRocaBatalla,ESP,25.0,1993.04.30,,,,"Right-Handed,One-Handed",26.0,8.0,62.0,74.0,57.0,15.0,93.0,32.0,97.0,68.0,24.0,46.0,15.0,20.0,30.0,10.0,32.0,51.0,178434,23301.0,1-1,1-1,,Barcelona,
268,269,VaclavSafranek,CZE,24.0,1994.05.20,2012.0,80.0,185.0,"Right-Handed,Two-Handed",5.0,6.0,65.0,61.0,51.0,21.0,57.0,26.0,65.0,57.0,23.0,33.0,9.0,0.0,27.0,0.0,27.0,43.0,239617,77791.0,0-3,0-2,PetrFrelich,"Brno,CzechRepublic","Brno,CzechRepublic"
269,270,KevinKrawietz,GER,26.0,1992.01.24,2008.0,83.0,191.0,"Right-Handed,Two-Handed",6.0,9.0,57.0,63.0,36.0,21.0,33.0,28.0,50.0,51.0,24.0,44.0,9.0,33.0,29.0,10.0,31.0,41.0,255590,24306.0,0-3,0-0,KlausLangenbach,"Coburg,Germany","Coburg,Germany"
270,271,YasutakaUchiyama,JPN,26.0,1992.08.05,2011.0,78.0,183.0,"Right-Handed,Two-Handed",35.0,5.0,62.0,74.0,58.0,16.0,44.0,53.0,83.0,68.0,24.0,46.0,32.0,13.0,54.0,7.0,33.0,49.0,433978,50511.0,3-5,0-0,KentaroMasuda,"Sapporo,Japan","Tokyo,Japan"
271,272,SoonwooKwon,KOR,20.0,1997.12.02,2015.0,72.0,180.0,"Right-Handed,Two-Handed",9.0,8.0,41.0,59.0,48.0,8.0,25.0,12.0,50.0,52.0,13.0,42.0,3.0,33.0,13.0,8.0,26.0,39.0,172882,67670.0,3-3,0-2,Yong-IlYoon,"Sangju,SouthKorea","Seoul,SouthKorea"
272,273,DanielMasur,GER,23.0,1994.11.06,2013.0,79.0,183.0,"Right-Handed,Two-Handed",19.0,14.0,69.0,65.0,45.0,40.0,65.0,51.0,73.0,59.0,25.0,48.0,28.0,25.0,51.0,14.0,34.0,47.0,192265,45000.0,1-4,1-2,LarsUebel,"Bueckeburg,Germany","Munich,Germany"
273,274,JanChoinski,GER,22.0,1996.06.10,,80.0,196.0,"Right-Handed,Two-Handed",2.0,1.0,67.0,55.0,60.0,3.0,33.0,5.0,60.0,57.0,25.0,50.0,2.0,0.0,4.0,0.0,33.0,45.0,104478,41270.0,0-1,0-0,AndrzejChoinski,"Koblenz,Germany",Germany
274,275,MaximeJanvier,FRA,21.0,1996.10.18,2014.0,80.0,193.0,"Right-Handed,Two-Handed",1.0,1.0,48.0,73.0,50.0,9.0,67.0,16.0,81.0,61.0,15.0,39.0,10.0,0.0,15.0,0.0,26.0,44.0,199738,72565.0,0-1,0-1,OlivierBardeau,"Creil,France","Gouvieux,France"
275,276,BernabeZapataMiralles,ESP,21.0,1997.01.12,,83.0,183.0,"Right-Handed,Two-Handed",6.0,2.0,55.0,74.0,43.0,15.0,60.0,20.0,70.0,60.0,37.0,52.0,12.0,50.0,18.0,33.0,44.0,52.0,96842,32950.0,1-1,1-1,,"Valencia,Spain","Valencia,Spain"
276,277,YosukeWatanuki,JPN,20.0,1998.04.12,2016.0,63.0,180.0,"Right-Handed,Two-Handed",4.0,7.0,54.0,64.0,48.0,13.0,62.0,14.0,64.0,57.0,15.0,56.0,8.0,38.0,14.0,21.0,35.0,46.0,67011,34286.0,0-1,0-1,YusukeWatanuki,"Saitama,Japan","Saitama,Japan"
277,278,ZheLi,CHN,31.0,1986.09.20,2004.0,77.0,185.0,"Right-Handed,Two-Handed",10.0,8.0,63.0,59.0,37.0,40.0,48.0,41.0,49.0,50.0,13.0,49.0,6.0,17.0,40.0,3.0,27.0,39.0,402713,32056.0,5-6,0-0,ChristopheLambert,"Tianjin,China","Tianjin,China"
278,279,DiWu,CHN,26.0,1991.09.14,2009.0,65.0,173.0,"Right-Handed,Two-Handed",40.0,50.0,59.0,61.0,46.0,180.0,50.0,229.0,61.0,55.0,25.0,48.0,100.0,38.0,227.0,17.0,34.0,45.0,751609,36222.0,20-31,0-2,CaoXiaoYin,"Shanghai,China","Shanghai,China"
279,280,DavidGuez,FRA,35.0,1982.12.08,,75.0,185.0,"Right-Handed,Unknown",23.0,37.0,58.0,60.0,50.0,157.0,49.0,218.0,63.0,56.0,26.0,49.0,96.0,41.0,218.0,18.0,35.0,45.0,799428,23357.0,2-16,0-0,RosantPhilippe,"Marseille,France","Marseille,France"
280,281,TimPuetz,GER,30.0,1987.11.19,,78.0,185.0,"Right-Handed,Unknown",50.0,20.0,60.0,78.0,43.0,31.0,65.0,54.0,80.0,64.0,30.0,43.0,28.0,39.0,56.0,20.0,36.0,50.0,379101,18439.0,1-2,0-0,LarsUebel,"Frankfurt,Germany","Usingen,Germany"
281,282,BlazKavcic,SLO,31.0,1987.03.05,2005.0,78.0,188.0,"Right-Handed,Two-Handed",499.0,461.0,63.0,66.0,46.0,1060.0,55.0,1492.0,68.0,58.0,30.0,50.0,832.0,42.0,1511.0,23.0,38.0,48.0,1827615,106804.0,57-88,2-8,,"Ljubljana,Slovenia","Dubai,UAE"
282,283,AkiraSantillan,AUS,21.0,1997.05.22,2013.0,78.0,180.0,"Right-Handed,One-Handed",46.0,24.0,54.0,70.0,51.0,42.0,45.0,90.0,74.0,61.0,25.0,46.0,39.0,41.0,87.0,18.0,34.0,48.0,257144,41061.0,2-7,0-0,MarkWoodforde,"Tokyo,Japan","Brisbane,Australia"
283,284,JoseHernandez-Fernandez,DOM,28.0,1990.03.13,,77.0,183.0,"Right-Handed,Two-Handed",2.0,4.0,68.0,56.0,38.0,15.0,47.0,17.0,53.0,50.0,30.0,45.0,14.0,7.0,17.0,6.0,35.0,43.0,192882,18763.0,13-15,2-1,LeonardoOlguin,SantoDomingo,SantoDomingo
284,285,AndreaCollarini,ARG,26.0,1992.01.31,2010.0,80.0,185.0,"Left-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,259748,74418.0,0-0,0-0,LuisIgnacioBrusco,"NewYork,NY,USA","BuenosAires,Argentina"
285,286,FilippoBaldi,ITA,22.0,1996.01.10,2012.0,79.0,183.0,"Right-Handed,Two-Handed",5.0,3.0,56.0,63.0,64.0,10.0,70.0,15.0,80.0,64.0,31.0,37.0,5.0,40.0,15.0,13.0,33.0,49.0,83811,31620.0,0-1,0-1,FrancescoAldi,"Milano,Italy","Vigevano,Italy"
286,287,MartinCuevas,URU,26.0,1992.01.14,,,,,,,,,,,,,,,,,,,,,,,126936,16573.0,3-16,0-2,,,
287,288,RicardoOjedaLara,ESP,25.0,1993.01.26,,76.0,180.0,"Right-Handed,Two-Handed",7.0,4.0,68.0,60.0,53.0,40.0,57.0,58.0,71.0,58.0,29.0,48.0,28.0,50.0,59.0,24.0,36.0,48.0,197316,82867.0,3-3,3-3,Tenisval,ElPuertodeSantaMarfa,"Valencia,Spain"
288,289,RentaTokuda,JPN,20.0,1998.03.29,,69.0,178.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,44189,15740.0,0-0,0-0,"Tsuji,Yuma","Hiroshima,Japan","Kanagawa,Japan"
289,290,ElliotBenchetrit,FRA,19.0,1998.10.02,2016.0,80.0,193.0,"Right-Handed,Two-Handed",1.0,5.0,50.0,56.0,39.0,16.0,44.0,16.0,44.0,47.0,24.0,47.0,11.0,27.0,15.0,20.0,35.0,42.0,93749,67901.0,0-1,0-1,Jean-MichelPequery,"Nice,France","Nice,France"
290,291,KimmerCoppejans,BEL,24.0,1994.02.07,,68.0,180.0,"Right-Handed,Two-Handed",24.0,17.0,64.0,65.0,53.0,40.0,57.0,57.0,70.0,61.0,23.0,48.0,33.0,21.0,60.0,12.0,31.0,46.0,340588,18435.0,1-7,0-0,MikeLynchandCarlMaes,"Oostende,Belgium","Lummen,Belgium"
291,292,RomanSafiullin,RUS,21.0,1997.08.07,2015.0,75.0,185.0,"Right-Handed,Two-Handed",7.0,1.0,84.0,62.0,33.0,7.0,57.0,9.0,67.0,57.0,26.0,7.0,0.0,0.0,9.0,0.0,20.0,41.0,76359,23987.0,0-1,0-0,RishatSafiullin,"Podolsk,Russia","Podolsk,Russia"
292,293,MatteoViola,ITA,31.0,1987.07.07,2004.0,80.0,185.0,"Right-Handed,Two-Handed",29.0,81.0,61.0,60.0,42.0,159.0,54.0,172.0,58.0,53.0,29.0,53.0,105.0,41.0,163.0,26.0,39.0,46.0,609335,32675.0,4-12,0-1,AndreaMantegazza,"Mestre-Venice,Italy","Marghera-Venice,Italy"
293,294,MateValkusz,HUN,20.0,1998.08.13,,75.0,183.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,29215,21961.0,0-0,0-0,ZoltanKuharszky,"Budapest,Hungary",Hungary
294,295,BenjaminBonzi,FRA,22.0,1996.06.09,2014.0,75.0,183.0,"Right-Handed,Two-Handed",17.0,11.0,57.0,68.0,46.0,34.0,56.0,48.0,69.0,59.0,26.0,48.0,26.0,38.0,48.0,21.0,35.0,47.0,266443,83178.0,1-2,0-1,PatrickVergnes,"Nimes,France","Anduze,France"
295,296,CarlosGomez-Herrera,ESP,28.0,1990.04.30,,85.0,191.0,"Right-Handed,Two-Handed",5.0,6.0,69.0,62.0,54.0,11.0,64.0,15.0,73.0,60.0,27.0,48.0,10.0,10.0,14.0,7.0,32.0,45.0,115140,16694.0,0-1,0-0,PepeImaz,"Marbella,Spain","Marbella,Spain"
296,297,MikaelYmer,SWE,19.0,1998.09.09,2015.0,75.0,183.0,"Right-Handed,Two-Handed",21.0,45.0,65.0,65.0,50.0,88.0,58.0,140.0,74.0,60.0,31.0,52.0,90.0,38.0,141.0,24.0,38.0,49.0,168821,48698.0,10-12,5-3,JohanHedsberg,"Skövde,Sweden","Stockholm,Sweden"
297,298,JoaoMenezes,BRA,21.0,1996.12.17,,81.0,185.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,48686,16657.0,0-0,0-0,KomlaviLoglo,"Uberaba,Brazil","Barcelona,Spain"
298,299,KaichiUchida,JPN,24.0,1994.08.23,,,,,,,,,,,,,,,,,,,,,,,109041,24697.0,0-0,0-0,,,
299,300,GianlucaMager,ITA,23.0,1994.12.01,,80.0,185.0,"Right-Handed,Unknown",5.0,3.0,58.0,58.0,59.0,9.0,44.0,12.0,58.0,58.0,26.0,48.0,7.0,43.0,13.0,23.0,36.0,47.0,121917,25235.0,0-1,0-0,,"Sanremo,Italy","Sanremo,Italy"
300,301,Cedrik-MarcelStebe,GER,27.0,1990.10.09,2010.0,70.0,183.0,"Left-Handed,Two-Handed",159.0,145.0,61.0,63.0,46.0,454.0,56.0,580.0,66.0,57.0,32.0,50.0,354.0,41.0,568.0,26.0,39.0,48.0,854808,59852.0,21-32,0-2,LarsUebel,"Muehlacker,Germany","Munich,Germany"
301,302,SteveDarcis,BEL,34.0,1984.03.13,2003.0,77.0,178.0,"Right-Handed,One-Handed",811.0,411.0,61.0,69.0,51.0,1385.0,59.0,2405.0,76.0,62.0,28.0,49.0,1248.0,40.0,2410.0,21.0,36.0,49.0,2989070,,111-121,0-0,YannisDemeroutis,"Liege,Belgium","Anthisnes,Belgium"
302,303,DimitarKuzmanov,BUL,25.0,1993.07.28,2009.0,72.0,183.0,"Right-Handed,Two-Handed",6.0,14.0,58.0,59.0,49.0,25.0,56.0,32.0,66.0,55.0,25.0,41.0,12.0,42.0,32.0,16.0,33.0,45.0,119133,20410.0,6-7,0-1,StefanRangelov,"Plovdiv,Bulgaria","Plovdiv,Bulgaria"
303,304,MiljanZekic,SRB,30.0,1988.07.12,,79.0,185.0,"Right-Handed,Two-Handed",11.0,5.0,66.0,68.0,50.0,25.0,68.0,30.0,73.0,62.0,23.0,42.0,9.0,22.0,30.0,7.0,31.0,48.0,241113,18039.0,1-2,0-0,SlobodanVojinovic,"Belgrade,Serbia","Belgrade,Serbia"
304,305,FrankDancevic,CAN,33.0,1984.09.26,2003.0,79.0,185.0,"Right-Handed,One-Handed",1226.0,340.0,60.0,73.0,50.0,987.0,61.0,1807.0,79.0,64.0,25.0,45.0,834.0,33.0,1823.0,15.0,33.0,49.0,1880854,34491.0,69-111,0-0,DejanCvetkovic,"NiagaraFalls,Canada","NiagaraFalls,Canada"
305,306,SumitNagal,IND,21.0,1997.08.16,,69.0,178.0,"Right-Handed,Two-Handed",2.0,3.0,55.0,49.0,50.0,8.0,50.0,9.0,56.0,49.0,26.0,40.0,2.0,50.0,9.0,11.0,31.0,42.0,104424,34337.0,0-3,0-2,MarianoDelfino,"Jhajjar,India","NewDelhi,India"
306,307,PatricioHeras,ARG,29.0,1989.01.21,,75.0,183.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,109686,10569.0,0-0,0-0,,"RíoCuarto,Córdoba","BuenosAires,Argentina"
307,308,UlisesBlanch,USA,20.0,1998.03.25,,78.0,191.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,34038,15505.0,0-0,0-0,"RodrigoAlvarez,USTA,DanielGarcia",USA,"Florida,USA"
308,309,CarlosBoluda-Purkiss,ESP,25.0,1993.01.22,,69.0,173.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,102739,21572.0,0-0,0-0,TommyArias,"Alicante,Spain","Alicante,Spain"
309,310,ChristopherHeyman,BEL,24.0,1993.10.08,,90.0,191.0,"Left-Handed,Unknown",,,,,,,,,,,,,,,,,,,66378,12921.0,0-0,0-0,,"Eupen,Belgium","Mol,Belgium"
310,311,ThomazBellucci,BRA,30.0,1987.12.30,2005.0,82.0,188.0,"Left-Handed,Two-Handed",2296.0,1228.0,58.0,70.0,51.0,2712.0,59.0,4732.0,77.0,62.0,29.0,50.0,2667.0,39.0,4781.0,22.0,37.0,50.0,5260899,97277.0,200-216,1-5,AndreSa,"Tiete,Brazil","SaoPaulo,Brazil"
311,312,YannickJankovits,FRA,31.0,1987.01.06,,72.0,,"Right-Handed,Unknown",,,,,,,,,,,,,,,,,,,140386,16373.0,0-0,0-0,JeffJankovits,,
312,313,DenisYevseyev,KAZ,25.0,1993.05.22,,,,,,,,,,,,,,,,,,,,,,,98228,25272.0,0-0,0-0,,,
313,314,HernanCasanova,ARG,24.0,1994.02.06,,76.0,178.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,92939,19735.0,0-0,0-0,"JorgeBernard,JuanMartinAranguren,panchoaran","BuenosAires,Argentina","LomasdeZamora,BuenosAires"
314,315,YunseongChung,KOR,20.0,1998.03.27,2017.0,78.0,178.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,56310,22735.0,0-0,0-0,Jeong-moTak,"Seoul,SouthKorea","Yongin,SouthKorea"
315,316,FredericoFerreiraSilva,POR,23.0,1995.03.18,,,,"Left-Handed,Two-Handed",9.0,12.0,58.0,62.0,48.0,30.0,40.0,48.0,63.0,56.0,30.0,48.0,28.0,46.0,51.0,25.0,38.0,47.0,152600,25061.0,4-6,0-1,,,
316,317,YibingWu,CHN,18.0,1999.10.14,2017.0,73.0,183.0,"Right-Handed,Two-Handed",14.0,8.0,51.0,71.0,47.0,24.0,63.0,34.0,74.0,59.0,29.0,41.0,13.0,46.0,34.0,18.0,34.0,47.0,100731,16525.0,3-4,2-2,SvenGroeneveld,"Hangzhou,China","Hangzhou,China"
317,318,AlexanderWard,GBR,28.0,1990.04.30,,85.0,185.0,"Right-Handed,Two-Handed",17.0,13.0,65.0,66.0,42.0,46.0,63.0,56.0,70.0,58.0,16.0,44.0,8.0,38.0,56.0,5.0,27.0,43.0,279019,24586.0,0-4,0-0,Ad-InTennisAcademy,"Northampton,GreatBritain","Northampton,GreatBritain"
318,319,AldinSetkic,BIH,30.0,1987.12.21,,86.0,191.0,"Right-Handed,Unknown",10.0,15.0,65.0,56.0,47.0,35.0,63.0,30.0,57.0,53.0,17.0,40.0,6.0,17.0,31.0,3.0,25.0,41.0,410219,35499.0,8-7,0-0,DanielMeyers,"Sarajevo,Bosnia&amp;Herzegovina",Brusells
319,320,RenzoOlivo,ARG,26.0,1992.03.15,2009.0,73.0,180.0,"Right-Handed,Two-Handed",166.0,232.0,59.0,67.0,47.0,434.0,58.0,583.0,69.0,59.0,30.0,49.0,335.0,38.0,583.0,22.0,38.0,48.0,849979,47856.0,20-29,0-1,JavierNalbandianandFrancoSquillari,"Rosario,Argentina","Rosario,Argentina"
320,321,RobertoOrtega-Olmedo,ESP,27.0,1991.04.30,,,,,3.0,2.0,52.0,68.0,59.0,9.0,78.0,9.0,78.0,63.0,13.0,21.0,2.0,0.0,10.0,0.0,16.0,41.0,190448,27642.0,0-1,0-0,,,
321,322,BradleyMousley,AUS,22.0,1996.01.03,2015.0,82.0,188.0,"Right-Handed,One-Handed",,,,,,,,,,,,,,,,,,,199847,48090.0,0-0,0-0,JackReaderandCraigMousley,"Modbury,SouthAustralia","Adelaide,Australia"
322,323,AlejandroGonzalez,COL,29.0,1989.02.07,2006.0,83.0,191.0,"Right-Handed,Two-Handed",179.0,109.0,60.0,66.0,48.0,378.0,55.0,541.0,68.0,58.0,27.0,49.0,272.0,38.0,546.0,19.0,36.0,47.0,1104440,42664.0,18-40,2-0,PabloFuente,"Medellin,Colombia","Medellin,Colombia"
323,324,AlessandroBega,ITA,27.0,1991.01.11,,68.0,173.0,"Right-Handed,Two-Handed",4.0,3.0,67.0,70.0,39.0,5.0,20.0,12.0,67.0,60.0,26.0,51.0,7.0,29.0,12.0,17.0,39.0,48.0,156462,25400.0,0-1,0-0,LauraGolarsa,"CernuscosulNaviglio,Italy","GernuscoSulNaviglio,Italy"
324,325,SakethMyneni,IND,30.0,1987.10.19,2012.0,85.0,193.0,"Right-Handed,Two-Handed",19.0,6.0,56.0,65.0,42.0,37.0,65.0,34.0,62.0,55.0,35.0,46.0,21.0,52.0,35.0,31.0,40.0,48.0,285099,16938.0,2-3,0-0,,"Vuyyuru,India","Visakhapatnam,India"
325,326,MarekJaloviec,CZE,24.0,1994.02.21,,72.0,180.0,"Left-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,78728,7966.0,0-0,0-0,IbrahimaKimmerlig,"Ostrava,CzechRepublic","Silherovice,CzechRepublic"
326,327,JuanPabloVarillas,PER,22.0,1995.10.06,,78.0,185.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,55941,15567.0,2-7,1-2,LeeBrowne,"Lima,Peru","Lima,Peru"
327,328,ArjunKadhe,IND,24.0,1994.01.07,,83.0,185.0,"Right-Handed,Two-Handed",5.0,5.0,62.0,61.0,32.0,9.0,44.0,10.0,50.0,50.0,35.0,29.0,2.0,100.0,9.0,22.0,33.0,43.0,49578,21628.0,0-1,0-1,,"Pune,India","Pune,MaharashtraState,India"
328,329,AndrewWhittington,AUS,25.0,1993.08.11,,82.0,188.0,"Right-Handed,Two-Handed",44.0,34.0,56.0,76.0,51.0,38.0,61.0,74.0,80.0,65.0,22.0,51.0,32.0,34.0,77.0,14.0,32.0,48.0,481996,28474.0,2-3,0-0,,"Williamstown,Australia","Williamstown,Australia"
329,330,HarriHeliovaara,FIN,29.0,1989.06.04,,82.0,188.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,146900,16986.0,8-11,2-2,PTErikPiispa,"Helsinki,Finland","Helsinki,Finland"
330,331,MathiasBourgue,FRA,24.0,1994.01.18,,83.0,188.0,"Right-Handed,Two-Handed",19.0,10.0,65.0,66.0,46.0,36.0,47.0,61.0,69.0,59.0,32.0,48.0,41.0,29.0,64.0,19.0,38.0,48.0,437357,48193.0,1-3,0-0,OlivierMalcor,"Avignon,France","Avignon,France"
331,332,AndrewHarris,AUS,24.0,1994.03.07,,82.0,183.0,"Right-Handed,One-Handed",,,,,,,,,,,,,,,,,,,57437,12450.0,0-0,0-0,JohnRoddick,BoxHill,Australia
332,333,MarceloTomasBarriosVera,CHI,20.0,1997.12.10,,83.0,,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,44114,13604.0,1-0,0-0,Guillermo,Chillan,Santiago
333,334,IllyaMarchenko,UKR,30.0,1987.09.08,2006.0,82.0,185.0,"Right-Handed,Two-Handed",573.0,511.0,58.0,71.0,47.0,925.0,59.0,1491.0,75.0,61.0,29.0,49.0,795.0,40.0,1516.0,21.0,36.0,49.0,1963288,18395.0,61-83,0-0,TiborToth,"Dneprodzerzhinsk,Ukraine","Donetsk,Ukraine"
334,335,AndreaBasso,ITA,24.0,1993.10.08,,72.0,185.0,"Left-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,77457,13644.0,0-0,0-0,,"Genova,Italy",Genova
335,336,StevenDiez,CAN,27.0,1991.03.17,,76.0,178.0,"Right-Handed,Two-Handed",13.0,26.0,60.0,62.0,43.0,49.0,51.0,62.0,61.0,55.0,25.0,52.0,27.0,44.0,65.0,18.0,36.0,45.0,372213,16981.0,1-6,0-0,DavidOlles,"Toronto,Canada","Malaga,Spain"
336,337,SantiagoGiraldo,COL,30.0,1987.11.27,2004.0,75.0,188.0,"Right-Handed,Two-Handed",1210.0,486.0,64.0,68.0,51.0,2228.0,60.0,3862.0,77.0,62.0,28.0,48.0,2089.0,39.0,3899.0,21.0,36.0,49.0,4390662,110221.0,166-200,1-2,FelipeBeron,"Pereira,Colombia","Pereira,Colombia"
337,338,IvanGakhov,RUS,21.0,1996.11.04,,83.0,193.0,"Left-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,96299,15592.0,0-0,0-0,SalvadorMartinezSala,"Moscow,Russia","Oliva,Spain"
338,339,JerzyJanowicz,POL,27.0,1990.11.13,2007.0,94.0,203.0,"Right-Handed,Two-Handed",1584.0,865.0,62.0,75.0,49.0,1117.0,64.0,2231.0,82.0,65.0,27.0,46.0,1038.0,36.0,2247.0,17.0,34.0,50.0,3753212,,101-95,0-0,,"Lodz,Poland","Lodz,Poland"
339,340,RobertoMarcora,ITA,29.0,1989.08.30,2009.0,88.0,193.0,"Right-Handed,One-Handed",2.0,2.0,50.0,64.0,36.0,7.0,43.0,8.0,50.0,50.0,21.0,17.0,0.0,0.0,8.0,0.0,20.0,37.0,158054,16251.0,0-1,0-0,UrosVico,"BustoArsizio,Italy","BustoArsizio,Italy"
340,341,MarinkoMatosevic,AUS,33.0,1985.08.08,2003.0,86.0,193.0,"Right-Handed,Two-Handed",688.0,444.0,60.0,68.0,48.0,1193.0,59.0,1826.0,73.0,60.0,28.0,50.0,971.0,39.0,1815.0,21.0,37.0,49.0,2041040,11500.0,63-95,0-0,,"Jajce,Bosnia-Herzegovina","Melbourne,Australia"
341,342,ZhizhenZhang,CHN,21.0,1996.10.16,2012.0,87.0,193.0,"Right-Handed,Two-Handed",29.0,13.0,57.0,71.0,48.0,33.0,64.0,57.0,79.0,61.0,28.0,51.0,30.0,40.0,55.0,22.0,37.0,50.0,121243,15442.0,4-2,0-0,,"Shanghai,China","Shanghai,China"
342,343,YanBai,CHN,29.0,1989.05.21,,80.0,185.0,"Right-Handed,Two-Handed",16.0,22.0,54.0,65.0,46.0,62.0,63.0,67.0,66.0,56.0,29.0,44.0,30.0,43.0,65.0,20.0,34.0,46.0,262139,16313.0,5-6,0-0,,"Nanjing,China","Shanghai,China"
343,344,DanielMunozdelaNava,ESP,36.0,1982.01.29,1999.0,75.0,175.0,"Left-Handed,Two-Handed",108.0,141.0,57.0,67.0,48.0,370.0,60.0,482.0,70.0,59.0,29.0,48.0,282.0,34.0,487.0,20.0,36.0,47.0,1100699,17773.0,9-28,0-0,IgnacioTruyol,"Madrid,Spain","Madrid,Spain"
344,345,CollinAltamirano,USA,22.0,1995.12.07,2017.0,85.0,188.0,"Right-Handed,Two-Handed",3.0,3.0,58.0,63.0,26.0,12.0,42.0,12.0,42.0,47.0,14.0,38.0,0.0,0.0,11.0,0.0,24.0,37.0,80779,18629.0,0-1,0-0,JosephGilbert,"Sacramento,CA,USA","Sacramento,CA,USA"
345,346,TristanLamasine,FRA,25.0,1993.03.05,2010.0,69.0,183.0,"Right-Handed,Two-Handed",24.0,16.0,63.0,63.0,54.0,44.0,59.0,62.0,71.0,60.0,28.0,47.0,25.0,48.0,60.0,20.0,35.0,48.0,366069,14575.0,1-4,0-0,AloisBeust,"Thiais,France","Choisy-le-Roi,France"
346,347,AndresArtunedoMartinavarro,ESP,24.0,1993.09.14,2011.0,75.0,183.0,"Right-Handed,Two-Handed",3.0,1.0,77.0,67.0,55.0,6.0,50.0,9.0,67.0,64.0,9.0,40.0,2.0,50.0,10.0,10.0,26.0,44.0,91630,12981.0,0-1,0-0,VincenteGarcia,"CastellondelaPlana,Spain","Barcelona,Spain"
347,348,YannickMertens,BEL,31.0,1987.06.25,2006.0,72.0,188.0,"Right-Handed,Unknown",9.0,7.0,62.0,71.0,55.0,19.0,63.0,30.0,77.0,65.0,28.0,49.0,16.0,44.0,33.0,21.0,38.0,51.0,467364,15836.0,1-2,0-0,KrisMertens,"Anderlecht,Belgium","Ternat,Belgium"
348,349,MarcosGiron,USA,25.0,1993.07.24,2014.0,77.0,180.0,"Right-Handed,Two-Handed",15.0,20.0,67.0,68.0,44.0,36.0,75.0,46.0,80.0,60.0,23.0,42.0,22.0,27.0,47.0,13.0,29.0,46.0,196312,32755.0,1-3,1-1,,"ThousandOaks,California,USA","ThousandOaks,California,USA"
349,350,AndreaPellegrino,ITA,21.0,1997.03.23,,75.0,185.0,"Right-Handed,Two-Handed",,,,,,,,,,,,,,,,,,,73462,12108.0,0-0,0-0,GiancarloPetrazzuolo,"Bisceglie,Italy","Bisceglie,Italy"
